"StreamBlock Name","Port Name","Actual Rx Port Name","Stream ID","Frame Loss (Frames)","Tx Count (Frames)","Rx Count (Frames)","Dropped Count (Frames)","Tx Rate (fps)",
"DSR-lv-urd-server-to-clients-v4","Port //3/3","Port //3/2,Port //3/3,Port //2/1","null","-5,823","1,775,433","1,781,256","0","9,987",
"DSR-lv-urd-server-to-clients-v6","Port //3/3","Port //3/2,Port //3/3,Port //2/1","null","-5,820","1,775,433","1,781,253","0","9,987",
"DSR-t1-hv-urd-clients-to-lv-server-v4","Port //3/2","Port //3/3","null","-7,400","1,777,699","1,785,099","0","10,000",
"DSR-t1-hv-urd-clients-to-lv-server-v6","Port //3/2","Port //3/3","null","-7,399","1,777,700","1,785,099","0","10,002",
"DSR-t1-lv-urd-clients-to-lv-server-v4","Port //3/3","Port //3/3","null","-7,149","1,775,611","1,782,760","0","9,987",
"DSR-t1-lv-urd-clients-to-lv-server-v6","Port //3/3","Port //3/3","null","-7,142","1,775,611","1,782,753","0","9,987",
"DSR-t2-urd-clients-to-lv-server-v4","Port //2/1","Port //3/3","null","-7,026","1,775,180","1,782,206","0","9,986",
"DSR-t2-urd-clients-to-lv-server-v6","Port //2/1","Port //3/3","null","-7,023","1,775,180","1,782,203","0","9,986",
"OA-t1-hv-urd-clients-to-lv-server-v4-p1024","Port //3/2","Port //3/3","null","-7,396","1,777,700","1,785,096","0","10,002",
"OA-t1-hv-urd-clients-to-lv-server-v6-p1024","Port //3/2","Port //3/3","null","-7,390","1,777,700","1,785,090","0","10,007",
"OA-t1-lv-server-to-t1-hv-clients-v4-p1024","Port //3/3","Port //3/2","null","-5,693","1,775,610","1,781,303","0","9,987",
"OA-t1-lv-server-to-t1-hv-clients-v6-p1024","Port //3/3","Port //3/2","null","-5,684","1,775,610","1,781,294","0","9,987",
"OA-t1-lv-server-to-t1-lv-clients-v4-p1025","Port //3/3","Port //3/3","null","-7,135","1,775,610","1,782,745","0","9,987",
"OA-t1-lv-server-to-t1-lv-clients-v6-p1025","Port //3/3","Port //3/3","null","-7,142","1,775,603","1,782,745","0","9,986",
"OA-t1-lv-server-to-t2-clients-v4-p1026","Port //3/3","Port //2/1","null","-4,630","1,775,610","1,780,240","0","9,987",
"OA-t1-lv-server-to-t2-clients-v6-p1026","Port //3/3","Port //2/1","null","-4,642","1,775,599","1,780,241","0","9,983",
"OA-t1-lv-urd-clients-to-lv-server-v4-p1025","Port //3/3","Port //3/3","null","-7,135","1,775,610","1,782,745","0","9,987",
"OA-t1-lv-urd-clients-to-lv-server-v6-p1025","Port //3/3","Port //3/3","null","-7,192","1,775,674","1,782,866","0","9,954",
"OA-t2-urd-clients-to-lv-server-v4-p1026","Port //2/1","Port //3/3","null","-7,022","1,775,180","1,782,202","0","9,986",
"OA-t2-urd-clients-to-lv-server-v6-p1026","Port //2/1","Port //3/3","null","-7,020","1,775,180","1,782,200","0","9,986",
"RTD-lv-lrd-server-to-t2-lrd-clients-v4","Port //3/3","Port //2/1","null","-4,558","1,775,610","1,780,168","0","9,985",
"RTD-lv-urd-server-to-clients-v4","Port //3/3","Port //3/2,Port //3/3,Port //2/1","null","-5,863","1,775,430","1,781,293","0","9,987",
"RTD-lv-urd-server-to-clients-v6","Port //3/3","Port //3/2,Port //3/3,Port //2/1","null","-5,828","1,775,430","1,781,258","0","9,984",
"RTD-t1-hv-urd-clients-to-lv-server-v4","Port //3/2","Port //3/3","null","-7,403","1,777,697","1,785,100","0","9,999",
"RTD-t1-hv-urd-clients-to-lv-server-v6","Port //3/2","Port //3/3","null","-7,403","1,777,697","1,785,100","0","9,999",
"RTD-t1-lv-urd-clients-to-lv-server-v4","Port //3/3","Port //3/3","null","-7,250","1,775,611","1,782,861","0","9,987",
"RTD-t1-lv-urd-clients-to-lv-server-v6","Port //3/3","Port //3/3","null","-7,253","1,775,611","1,782,864","0","9,988",
"RTD-t2-lv-lrd-clients-to-lrd-lv-server-v4","Port //2/1","Port //3/3","null","-6,705","1,775,175","1,781,880","0","9,985",
"RTD-t2-urd-clients-to-lv-server-v4","Port //2/1","Port //3/3","null","-7,028","1,775,180","1,782,208","0","9,986",
"RTD-t2-urd-clients-to-lv-server-v6","Port //2/1","Port //3/3","null","-7,026","1,775,180","1,782,206","0","9,986",
"git-mer-mob001-to-t1-dc-lrd-hosts-v4","Port //3/2","Port //3/3","null","-7,385","1,777,700","1,785,085","0","10,000",
"git-mer-mob002-to-t1-dc-lrd-hosts-v4","Port //3/2","Port //3/3","null","-7,363","1,777,700","1,785,063","0","10,000",
"git-mer-mob002-to-t1-dc-ora-hosts-v4","Port //3/2","Port //3/3","null","-7,343","1,777,700","1,785,043","0","10,000",
"inter-site-hv-t1-to-t2-v4","Port //3/2","Port //2/1","null","-47,153","17,776,980","17,824,133","0","100,000",
"inter-site-hv-t1-to-t2-v6","Port //3/2","Port //2/1","null","-47,091","17,776,978","17,824,069","0","100,018",
"inter-site-hv-t2-to-t1-v4","Port //2/1","Port //3/2","null","-57,680","17,751,800","17,809,480","0","99,860",
"inter-site-hv-t2-to-t1-v6","Port //2/1","Port //3/2","null","-57,246","17,751,800","17,809,046","0","99,860",
"inter-site-lv-t1-to-t2-v4","Port //3/3","Port //2/1","null","-45,625","17,754,354","17,799,979","0","99,870",
"inter-site-lv-t1-to-t2-v6","Port //3/3","Port //2/1","null","-45,846","17,738,400","17,784,246","0","99,750",
"inter-site-lv-t2-to-t1-v4","Port //2/1","Port //3/3","null","-67,812","17,750,040","17,817,852","0","99,870",
"inter-site-lv-t2-to-t1-v6","Port //2/1","Port //3/3","null","-68,915","17,750,040","17,818,955","0","99,870",
"inter-vlan-hv-v4","Port //3/2","Port //3/2","null","-58,810","17,776,980","17,835,790","0","100,000",
"inter-vlan-hv-v6","Port //3/2","Port //3/2","null","-58,429","17,776,980","17,835,409","0","100,000",
"inter-vlan-lv-v4","Port //3/3","Port //3/3","null","-70,674","17,756,120","17,826,794","0","99,880",
"inter-vlan-lv-v6","Port //3/3","Port //3/3","null","-69,032","17,754,330","17,823,362","0","99,870",
"internet-t1-ice-to-t1-spirit-v4","Port //3/1","Port //3/1","null","-51,181","17,760,324","17,811,505","0","99,972",
"internet-t1-ice-to-t1-spirit-v6","Port //3/1","Port //3/1","null","-50,939","17,760,324","17,811,263","0","99,972",
"internet-t1-ice-to-t2-spirit-v4","Port //3/1","Port //2/1","null","-59,312","17,760,324","17,819,636","0","99,972",
"internet-t1-ice-to-t2-spirit-v6","Port //3/1","Port //2/1","null","-59,291","17,760,324","17,819,615","0","99,972",
"internet-t1-spirit-to-t1-ice-v4","Port //3/1","Port //3/1","null","-51,053","17,760,324","17,811,377","0","99,972",
"internet-t1-spirit-to-t1-ice-v6","Port //3/1","Port //3/1","null","-50,819","17,760,324","17,811,143","0","99,972",
"internet-t2-spirit-to-t1-ice-v4","Port //2/1","Port //3/1","null","-39,468","17,751,096","17,790,564","0","99,852",
"internet-t2-spirit-to-t1-ice-v6","Port //2/1","Port //3/1","null","-39,368","17,751,070","17,790,438","0","99,841",
"t1-dc-lrd-hosts-to-git-mer-mob001-v4","Port //3/3","Port //3/2","null","-5,688","1,775,610","1,781,298","0","9,980",
"t1-dc-lrd-hosts-to-git-mer-mob002-v4","Port //3/3","Port //3/2","null","-5,667","1,775,610","1,781,277","0","9,980",
"t1-dc-ora-hosts-to-git-mer-mob002-v4","Port //3/3","Port //3/2","null","-5,646","1,775,610","1,781,256","0","9,980",
"t1-l2vpn-opt2-vl2552-gsi-to-isp-v4-L2","Port //3/3","Port //3/2","null","24,849","1,775,610","1,750,761","30,585","9,985",
"t1-l2vpn-opt2-vl2552-gsi-to-isp-v6-L2","Port //3/3","Port //3/2","null","24,207","1,775,610","1,751,403","30,581","9,985",
"t1-l2vpn-opt2-vl2552-isp-to-gsi-v4-L2","Port //3/2","Port //3/3","null","33,870","1,777,700","1,743,830","41,289","10,000",
"t1-l2vpn-opt2-vl550-gsi-to-isp-v4-L2","Port //3/3","Port //3/2","null","24,825","1,775,610","1,750,785","30,571","9,985",
"t1-l2vpn-opt2-vl550-gsi-to-isp-v6-L2","Port //3/3","Port //3/2","null","24,845","1,775,610","1,750,765","30,570","9,985",
"t1-l2vpn-opt2-vl550-isp-to-gsi-v4-L2","Port //3/2","Port //3/3","null","41,216","1,777,700","1,736,484","48,744","10,000",
"t1-l2vpn-opt2-vl550-isp-to-gsi-v6-L2","Port //3/2","Port //3/3","null","82,541","1,777,700","1,695,159","27,763","10,000",
